종점,막차시간,노선ID,노선번호,노선유형,기점,첫차시간
구미역(중앙시장),0640,GMB410-330,410-3,좌석버스,구미역,0640
구미역(중앙시장),1530,GMB410-430,410-4,일반버스,원호대우아파트건너,1530
원호대우아파트앞,1515,GMB410-530,410-5,일반버스,구미역,1515
구미역(중앙시장),0732,GMB410-630,410-6,일반버스,청솔아파트앞,0732
태왕아너스아파트건너,0610,GMB410-711,410-7,일반버스,구미역,0610
구미역(중앙시장),2205,GMB41012,410,일반버스,귀빈맨션(구미여고),2205
구미역(중앙시장),2215,GMB41030,410,일반버스,구미역,0723
구미역(중앙시장),2246,GMB411-136,411-1,일반버스,원호대우아파트건너,0725
구미역(중앙시장),1820,GMB411-234,411-2,일반버스,구미역,0855
구미역(중앙시장),2133,GMB411-339,411-3,일반버스,봉곡청마루출발지(종점),0755
봉곡청마루출발지(종점),1933,GMB411-437,411-4,일반버스,구미역,0630
구미역(중앙시장),0640,GMB411-530,411-5,일반버스,봉곡청마루출발지(종점),0640
원호대우아파트앞,0605,GMB411-635,411-6,일반버스,구미역,0605
원호대우아파트앞,2135,GMB411-731,411-7,일반버스,구미역,2135
구미역(중앙시장),2050,GMB41130,411,일반버스,구미역,0925
구미역(중앙시장),0705,GMB46030,460,일반버스,구미역,0705
구미역(중앙시장),1535,GMB46130,461,일반버스,구미역,1300
구미종합터미널앞,2050,GMB500010,5000,좌석버스,김천시외버스터미널(종점),0615
김천시외버스터미널 종점,2233,GMB500020,5000,좌석버스,구미종합터미널건너,0615
금오공대종점,1940,GMB51-110,51-1,일반버스,김천시외버스터미널(종점),1306
김천시외버스터미널 종점,1923,GMB51-120,51-1,일반버스,금오공대종점,1443
김천시외버스터미널 종점,0905,GMB51-121,51-1,좌석버스,금오공대종점,0905
황상종점,2000,GMB510010,5100,좌석버스,김천시외버스터미널(종점),0730
김천시외버스터미널 종점,2128,GMB510020,5100,좌석버스,황상종점 출발점,0855
김천시외버스터미널 종점,0625,GMB5130,51,일반버스,김천시외버스터미널(종점),0625
김천(구미)역구미행,1535,GMB52-110,52-1,일반버스,선산터미널종점,1115
칠산(진등방면),1805,GMB52-111,52-1,일반버스,선산터미널종점,1420
김천(구미)역구미행,0905,GMB52-112,52-1,일반버스,선산터미널종점,0905
선산터미널종점,1615,GMB52-120,52-1,일반버스,김천(구미)역구미행,0955
선산터미널종점,1450,GMB52-121,52-1,일반버스,칠산(경북과학기술고등학교방면),1450
선산터미널종점,1835,GMB52-122,52-1,좌석버스,칠산(경북과학기술고등학교방면),1835
양포동행정복지센터건너,1715,GMB520010,5200,좌석버스,김천시외버스터미널(종점),0750
김천시외버스터미널 종점,1838,GMB520020,5200,좌석버스,양포동행정복지센터,0910
선산터미널종점,2005,GMB5210,52,일반버스,김천시외버스터미널(종점),2005
차고지,1745,GMB1-110,1-1,일반버스,차고지,1745
왜관남부,1353,GMB10-130,10-1,일반버스,왜관남부,0830
왜관남부,0757,GMB10-230,10-2,일반버스,왜관남부,0757
비산동행정복지센터앞,1850,GMB101-110,101-1,일반버스,구미역,0730
구미역(중앙시장),2030,GMB101-120,101-1,일반버스,비산동행정복지센터앞,1100
왜관남부,2145,GMB1010,10,일반버스,구미역,0630
비산동행정복지센터앞,1910,GMB10130,101,일반버스,비산동행정복지센터건너,0750
구미역(중앙시장),2140,GMB1020,10,일반버스,왜관남부,0615
왜관남부,1402,GMB11-130,11-1,일반버스,왜관남부,0630
왜관남부,1752,GMB11-230,11-2,일반버스,왜관남부,1752
왜관남부,0703,GMB11-330,11-3,일반버스,왜관남부,0703
왜관남부,1730,GMB11-430,11-4,일반버스,왜관남부,0700
왜관남부,1841,GMB11-530,11-5,일반버스,왜관남부,0655
왜관남부,1546,GMB11-630,11-6,일반버스,왜관남부,0924
왜관남부,1800,GMB11010,110,좌석버스,구미역,0615
구미역(중앙시장),1925,GMB11020,110,좌석버스,왜관남부,0732
왜관남부,0949,GMB1111,11,일반버스,구미역,0949
왜관남부,2210,GMB11110,111,좌석버스,구미역,0630
구미역(중앙시장),2205,GMB11120,111,좌석버스,왜관남부,0630
왜관남부,2230,GMB1114,11,좌석버스,구미역,0740
왜관남부,0615,GMB1115,11,좌석버스,구미역,0605
구미역(중앙시장),2051,GMB1120,11,일반버스,왜관남부,0615
구미역(중앙시장),2220,GMB1121,11,일반버스,왜관남부,2220
구미역(중앙시장),2050,GMB1220,12,일반버스,효성해링턴앞,0645
차고지,0000,GMB1310,13,일반버스,구미역(중앙시장),0000
구미역(중앙시장),1804,GMB140-130,140-1,일반버스,봉곡청마루출발지(종점),0634
봉곡청마루출발지(종점),1733,GMB140-230,140-2,일반버스,구미역,0605
원호대우아파트앞,0642,GMB140-330,140-3,일반버스,구미역,0642
봉곡청마루출발지(종점),0627,GMB140-630,140-6,일반버스,구미역,0627
구미역(중앙시장),0757,GMB140-730,140-7,일반버스,원호대우아파트건너,0757
구미역(중앙시장),2320,GMB14030,140,일반버스,구미역,0615
인평중학교종점,2055,GMB16010,160,좌석버스,구미역,0645
북삼농협건너,1755,GMB16011,160,좌석버스,구미역,0930
구미역(중앙시장),2138,GMB16020,160,좌석버스,인평중학교출발,0730
구미역(중앙시장),1842,GMB16021,160,좌석버스,북삼농협앞,1016
오태1동,1850,GMB16110,161,일반버스,구미역,0635
구미역(중앙시장),2010,GMB16120,161,일반버스,오태1동,0755
지경리종점,0610,GMB162-111,162-1,일반버스,구미역,0610
지경리종점,1820,GMB16210,162,일반버스,구미역,0955
구미역(중앙시장),1918,GMB16220,162,일반버스,지경리출발,0700
구미역(중앙시장),2155,GMB17012,170,좌석버스,선산터미널종점,0632
선산터미널종점,2300,GMB17022,170,좌석버스,구미역(선산노선정류장),0655
구미역(중앙시장),0721,GMB171-210,171-2,일반버스,선산터미널종점,0721
선산터미널종점,1513,GMB171-220,171-2,일반버스,구미역(선산노선정류장),1513
구미역(중앙시장),1921,GMB171-410,171-4,일반버스,선산터미널종점,0600
구미역(중앙시장),2200,GMB17110,171,일반버스,선산터미널종점,0620
선산터미널종점,2320,GMB17120,171,일반버스,구미역(선산노선정류장),0650
구미역,1919,GMB17210,172,일반버스,선산터미널종점,1302
선산터미널종점,1507,GMB17220,172,일반버스,구미역(중앙시장),0605
구미역,1612,GMB17310,173,일반버스,선산터미널종점,1000
선산터미널종점,1805,GMB17320,173,일반버스,구미역(중앙시장),1150
선산터미널종점,0640,GMB174-120,174-1,일반버스,구미역(김천행),0640
구미역,1228,GMB174-211,174-2,일반버스,선산터미널종점,1228
구미역(선산노선정류장),2005,GMB17410,174,일반버스,선산터미널종점,1005
선산터미널종점,1930,GMB17420,174,일반버스,구미역(김천행),0913
해평버스정류장,1910,GMB17510,175,일반버스,구미역(선산노선정류장),0618
구미역(중앙시장),1945,GMB17520,175,일반버스,해평버스정류장,0650
구평예다음아파트2차,2005,GMB18010,180,일반버스,구미역,0610
구미역(중앙시장),2047,GMB18020,180,일반버스,구평예다음아파트2차,0700
황상종점,2205,GMB18110,181,일반버스,구미역,0605
구미역(중앙시장),2255,GMB18120,181,일반버스,황상종점 출발점,0655
황상종점,0724,GMB182-110,182-1,좌석버스,구미역,0724
황상종점,1425,GMB182-210,182-2,일반버스,구미역,0630
구미역(중앙시장),2120,GMB182-220,182-2,일반버스,황상종점 출발점,1120
황상종점,2050,GMB18210,182,일반버스,구미역,1220
구미역(중앙시장),2138,GMB18220,182,일반버스,황상종점 출발점,0845
황상종점,1835,GMB18310,183,일반버스,구미역,0715
구미역(중앙시장),2110,GMB18320,183,일반버스,황상종점 출발점,0940
인동정류장(인동중학교방면),2115,GMB18410,184,좌석버스,구미역,0650
구미역(중앙시장),2215,GMB18420,184,일반버스,인동정류장(인동사거리방면),0810
황상종점,2320,GMB18510,185,좌석버스,구미역,0610
구미역(중앙시장),2355,GMB18520,185,좌석버스,황상종점 출발점,0645
황상종점,2100,GMB18610,186,좌석버스,구미역,0740
구미역(중앙시장),2150,GMB18620,186,좌석버스,황상종점 출발점,0833
구미역(중앙시장),0640,GMB187-131,187-1,좌석버스,구미역,0640
구미역(중앙시장),2220,GMB18730,187,좌석버스,구미역,0620
구미역(중앙시장),2000,GMB18830,188,좌석버스,구미역,0705
옥계이편한세상APT앞,1907,GMB190-110,190-1,일반버스,봉곡청마루출발지(종점),1907
금오공대종점,1925,GMB190-310,190-3,일반버스,구미역,0610
구미역(중앙시장),2125,GMB190-320,190-3,일반버스,금오공대종점,1023
옥계이편한세상APT앞,2115,GMB19010,190,일반버스,구미역,0746
구미역(중앙시장),2157,GMB19020,190,일반버스,옥계이편한세상APT앞,0835
옥계이편한세상APT앞,2053,GMB19110,191,일반버스,구미역,0810
김천시외버스터미널 종점,0640,GMB5220,52,일반버스,선산터미널종점,0640
구미종합터미널앞,1625,GMB53-111,53-1,일반버스,김천시외버스터미널(종점),0800
김천시외버스터미널 종점,1745,GMB53-121,53-1,일반버스,구미종합터미널건너,0958
구미종합터미널앞,2205,GMB5310,53,일반버스,김천시외버스터미널(종점),0830
구미종합터미널앞,1705,GMB5311,53,좌석버스,김천시외버스터미널(종점),0940
구미종합터미널앞,1340,GMB5313,53,좌석버스,김천시외버스터미널(종점),0925
김천시외버스터미널 종점,2221,GMB5320,53,일반버스,구미종합터미널건너,0610
김천시외버스터미널 종점,0718,GMB5321,53,좌석버스,구미종합터미널건너,0718
김천시외버스터미널 종점,0808,GMB5322,53,좌석버스,구미종합터미널건너,0808
김천시외버스터미널 종점,1830,GMB5323,53,좌석버스,구미종합터미널건너,1343
오태1동,1850,GMB5510,55,일반버스,김천시외버스터미널(종점),0600
오태1동,0715,GMB5511,55,일반버스,김천시외버스터미널(종점),0715
오태1동,0630,GMB5512,55,좌석버스,김천시외버스터미널(종점),0630
김천시외버스터미널 종점,2006,GMB5520,55,일반버스,오태1동,0713
김천시외버스터미널 종점,1603,GMB5522,55,일반버스,오태1동,1603
구미종합터미널앞,2230,GMB55310,553,좌석버스,김천시외버스터미널(종점),0900
김천시외버스터미널 종점,2203,GMB55320,553,좌석버스,구미종합터미널건너,0531
구미종합터미널앞,2340,GMB55410,554,좌석버스,김천(구미)역구미행,1225
김천(구미)역구미행,2300,GMB55420,554,좌석버스,구미종합터미널건너,1138
구미종합터미널앞,1730,GMB555-110,555-1,좌석버스,김천시외버스터미널(종점),0700
김천시외버스터미널 종점,1947,GMB555-120,555-1,좌석버스,구미종합터미널건너,0750
금오공대종점,1300,GMB55710,557,좌석버스,김천시외버스터미널(종점),0710
김천시외버스터미널 종점,1428,GMB55720,557,좌석버스,금오공대종점,0821
금오공대종점,1910,GMB5710,57,일반버스,김천시외버스터미널(종점),0620
김천시외버스터미널 종점,2111,GMB5720,57,일반버스,금오공대종점,0738
김천시외버스터미널 종점,1623,GMB5721,57,일반버스,금오공대종점,1354
오태1동,1620,GMB60-131,60-1,일반버스,오태1동,1315
오태1동,1930,GMB6030,60,일반버스,오태1동,0715
CNG충전소(탑승불가),0000,GMB66610,666,좌석버스,CNG충전소(탑승불가),0000
선산터미널종점,1620,GMB70-130,70-1,일반버스,선산터미널종점,1000
선산터미널종점,0915,GMB70-230,70-2,일반버스,선산터미널종점,0712
선산터미널종점,1600,GMB70-231,70-2,일반버스,선산터미널종점,1600
선산터미널종점,1700,GMB70-330,70-3,일반버스,선산터미널종점,1700
선산터미널종점,0700,GMB70-331,70-3,일반버스,선산터미널종점,0700
선산터미널종점,1615,GMB70-430,70-4,일반버스,선산터미널종점,0755
선산터미널종점,2050,GMB7030,70,일반버스,선산터미널종점,0750
선산터미널종점,0915,GMB71-120,71-1,좌석버스,안곡1리,0915
선산터미널종점,1710,GMB71-130,71-1,일반버스,선산터미널종점,1110
선산터미널종점,2040,GMB71030,710,좌석버스,선산터미널종점,0910
선산터미널종점,1340,GMB7130,71,일반버스,선산터미널종점,1340
선산터미널종점,1420,GMB7131,71,일반버스,선산터미널종점,0745
선산터미널종점,0650,GMB7132,71,일반버스,선산터미널종점,0650
안곡(산현4리방면),0850,GMB7133,71,일반버스,선산터미널종점,0850
선산터미널종점,1900,GMB72-130,72-1,일반버스,선산터미널종점,0800
선산터미널종점,1845,GMB72-230,72-2,좌석버스,선산터미널종점,0950
선산터미널종점,1300,GMB72-231,72-2,일반버스,선산터미널종점,1300
선산터미널종점,0700,GMB72-332,72-3,일반버스,선산터미널종점,0620
선산터미널종점,1750,GMB72-431,72-4,일반버스,선산터미널종점,1750
선산터미널종점,1500,GMB72-530,72-5,일반버스,선산터미널종점,1500
선산터미널종점,0930,GMB72-630,72-6,일반버스,선산터미널종점,0930
선산터미널종점,0640,GMB72-631,72-6,일반버스,선산터미널종점,0640
선산터미널종점,1925,GMB72-730,72-7,일반버스,선산터미널종점,1115
선산터미널종점,2020,GMB7230,72,일반버스,선산터미널종점,1330
선산터미널종점,1730,GMB73-131,73-1,일반버스,선산터미널종점,1730
선산터미널종점,1715,GMB73-230,73-2,일반버스,선산터미널종점,0820
소보정류장,1655,GMB73-310,73-3,일반버스,선산터미널종점,0620
선산터미널종점,1745,GMB73-320,73-3,일반버스,소보출발,0720
선산터미널종점,1455,GMB73030,730,좌석버스,선산터미널종점,0645
선산터미널종점,2015,GMB7330,73,일반버스,선산터미널종점,0830
경운대학교(구미운전면허센터),2020,GMB74-111,74-1,일반버스,선산터미널종점,0810
선산터미널종점,2055,GMB74-121,74-1,일반버스,경운대학교(구미운전면허센터),0850
경운대학교(구미운전면허센터),0630,GMB74-210,74-2,일반버스,선산터미널종점,0630
선산터미널종점,0750,GMB74-322,74-3,일반버스,해평버스정류장,0750
선산터미널종점,1530,GMB74-430,74-4,일반버스,선산터미널종점,1015
해평버스정류장,1705,GMB74010,740,좌석버스,선산터미널종점,0600
선산터미널종점,2100,GMB74020,740,좌석버스,해평버스정류장,1730
해평버스정류장,1915,GMB7410,74,일반버스,선산터미널종점,0603
선산터미널종점,2310,GMB7420,74,일반버스,해평버스정류장,0630
산동파출소앞,1650,GMB78-110,78-1,일반버스,선산터미널종점,1650
산동파출소앞,0730,GMB78-220,78-2,일반버스,장천버스터미널 종점,0730
장천버스터미널 종점,0650,GMB78-310,78-3,일반버스,선산터미널종점,0650
선산터미널종점,1830,GMB78-420,78-4,일반버스,산동파출소앞,1830
선산터미널종점,0815,GMB7820,78,일반버스,장천버스터미널 종점,0815
선산터미널종점,0635,GMB7830,78,일반버스,선산터미널종점,0635
원평2동산업도로(원평마을문화센터방면),0810,GMB80-130,80-1,좌석버스,구미역,0810
경운대학교(구미운전면허센터),2100,GMB8010,80,좌석버스,인동차고지,0700
인동차고지,2130,GMB8020,80,좌석버스,경운대학교(구미운전면허센터),0730
장천버스터미널 종점,1800,GMB8330,83,일반버스,장천버스터미널 종점,0700
장천버스터미널 종점,1930,GMB8432,84,일반버스,장천버스터미널 종점,0800
장천버스터미널 종점,1910,GMB8532,85,일반버스,장천버스터미널 종점,0755
장천버스터미널 종점,1020,GMB8630,86,일반버스,장천버스터미널 종점,1020
천평종점,0733,GMB881-113,881-1,일반버스,구미역,0733
천평종점,2205,GMB88110,881,일반버스,구미역,0615
구미역(중앙시장),2300,GMB88120,881,일반버스,천평종점,0710
성곡종점,1825,GMB88210,882,일반버스,구미역,0620
구미역(중앙시장),1927,GMB88220,882,일반버스,성곡종점,0720
경운대학교(구미운전면허센터),1620,GMB883-111,883-1,일반버스,구미역,0812
구미역(중앙시장),1732,GMB883-121,883-1,일반버스,경운대학교(구미운전면허센터),1125
장천버스터미널 종점,1927,GMB88310,883,일반버스,구미역,0700
구미역(중앙시장),2027,GMB88320,883,일반버스,장천버스터미널 종점,0805
경운대학교(구미운전면허센터),1255,GMB884-111,884-1,일반버스,구미역,1255
구미역(중앙시장),1405,GMB884-121,884-1,일반버스,경운대학교(구미운전면허센터),0924
장천버스터미널 종점,0635,GMB884-210,884-2,일반버스,구미역,0635
장천버스터미널 종점,2040,GMB88410,884,일반버스,구미역,0925
구미역(중앙시장),1940,GMB88420,884,일반버스,장천버스터미널 종점,0635
동명면우체국건너,0632,GMB885-111,885-1,일반버스,구미역,0632
동명면우체국건너,1705,GMB88510,885,일반버스,구미역,0605
구미역(중앙시장),1825,GMB88520,885,일반버스,동명면우체국,0717
해평버스정류장,2100,GMB89010,890,좌석버스,구미역,0605
구미역(중앙시장),2210,GMB89020,890,좌석버스,해평버스정류장,0715
경운대학교(구미운전면허센터),1555,GMB891-111,891-1,좌석버스,구미역,0845
구미역(중앙시장),1700,GMB891-121,891-1,좌석버스,경운대학교(구미운전면허센터),0955
구미역(중앙시장),0740,GMB891-220,891-2,좌석버스,옥계대백타운 출발지,0740
옥계대백타운종점,1845,GMB89110,891,좌석버스,구미역,0620
구미역(중앙시장),1945,GMB89120,891,좌석버스,옥계대백타운 출발지,0708
인동정류장 종점,0735,GMB90-230,90-2,좌석버스,인동정류장(인동중학교방면),0735
AGC화인테크노한국앞,2056,GMB90010,900,좌석버스,구미역,0840
구미역(중앙시장),2140,GMB90020,900,일반버스,AGC화인테크노한국건너,0924
해평버스정류장,2150,GMB9010,90,일반버스,인동정류장(인동중학교방면),0755
해평버스정류장,2215,GMB9011,90,일반버스,구미역,0620
해평버스정류장,1520,GMB9012,90,일반버스,인동정류장(인동중학교방면),1520
인동정류장 종점,2145,GMB9020,90,일반버스,해평버스정류장,0635
인동정류장 종점,0955,GMB9021,90,일반버스,해평버스정류장,0955
인동정류장 종점,2220,GMB9022,90,일반버스,해평버스정류장,2220
구미역(중앙시장),2020,GMB910-130,910-1,좌석버스,구미역,0630
구미역(중앙시장),1940,GMB91030,910,좌석버스,구미역,0705
금오공대종점,2010,GMB9110,91,일반버스,황상종점 출발점,0720
황상종점,2105,GMB9120,91,일반버스,금오공대종점,0815
경운대학교(구미운전면허센터),2150,GMB92-110,92-1,일반버스,인동정류장(인동중학교방면),1425
인동정류장 종점,1635,GMB92-120,92-1,일반버스,경운대학교(구미운전면허센터),0920
경운대학교(구미운전면허센터),0840,GMB92-210,92-2,좌석버스,인동정류장(인동중학교방면),0840
인동정류장 종점,2230,GMB92-220,92-2,좌석버스,경운대학교(구미운전면허센터),2230
장천버스터미널 종점,1900,GMB9210,92,일반버스,인동정류장(인동중학교방면),0605
인동정류장 종점,2135,GMB9220,92,일반버스,장천버스터미널 종점,0705
양호동종점,2105,GMB9310,93,일반버스,인동정류장(인동중학교방면),0630
인동정류장 종점,2130,GMB9320,93,일반버스,양호동종점,0700
신장리,2140,GMB9410,94,일반버스,인동정류장(인동중학교방면),0630
인동정류장 종점,2205,GMB9420,94,일반버스,신장리,0655
장천버스터미널 종점,1720,GMB95-110,95-1,일반버스,인동정류장(인동중학교방면),1010
장천버스터미널 종점,0605,GMB95-111,95-1,일반버스,구미역,0605
인동정류장(인동사거리방면),1830,GMB95-120,95-1,일반버스,장천버스터미널 종점,1045
인동정류장(인동사거리방면),0720,GMB95-121,95-1,일반버스,경운대학교(구미운전면허센터),0720
해평버스정류장,1830,GMB95-210,95-2,일반버스,인동정류장(인동중학교방면),1830
해평버스정류장,0710,GMB95-211,95-2,일반버스,인동정류장(인동중학교방면),0710
인동정류장(인동사거리방면),1735,GMB95-220,95-2,일반버스,해평버스정류장,1735
산동농공단지입구,1500,GMB9510,95,일반버스,인동정류장(인동중학교방면),1030
인동정류장(인동사거리방면),1535,GMB9520,95,일반버스,산동농공단지입구,0755
경운대학교(구미운전면허센터)입구,2053,GMB96010,960,좌석버스,사곡역,0633
사곡역,2148,GMB96020,960,좌석버스,경운대학교(구미운전면허센터),0728
산동농공단지입구,1050,GMB9631,96,좌석버스,산동농공단지입구,1050
산동농공단지입구,1750,GMB9632,96,좌석버스,산동농공단지입구,1750
장천버스터미널 종점,1600,GMB9710,97,일반버스,금오공대입구(옥계중학교방면),0645
금오공대종점,1630,GMB9720,97,일반버스,장천버스터미널 종점,0718
